,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215
TIMESTAMP,2017-12-14 12:00:00,2017-12-14 12:10:00,2017-12-14 12:20:00,2017-12-14 12:30:00,2017-12-14 12:40:00,2017-12-14 12:50:00,2017-12-14 13:00:00,2017-12-14 13:10:00,2017-12-14 13:20:00,2017-12-14 13:30:00,2017-12-14 13:40:00,2017-12-14 13:50:00,2017-12-14 14:00:00,2017-12-14 14:10:00,2017-12-14 14:20:00,2017-12-14 14:30:00,2017-12-14 14:40:00,2017-12-14 14:50:00,2017-12-14 15:00:00,2017-12-14 15:10:00,2017-12-14 15:20:00,2017-12-14 15:30:00,2017-12-14 15:40:00,2017-12-14 15:50:00,2017-12-14 16:00:00,2017-12-14 16:10:00,2017-12-14 16:20:00,2017-12-14 16:30:00,2017-12-14 16:40:00,2017-12-14 16:50:00,2017-12-14 17:00:00,2017-12-14 17:10:00,2017-12-14 17:20:00,2017-12-14 17:30:00,2017-12-14 17:40:00,2017-12-14 17:50:00,2017-12-14 18:00:00,2017-12-14 18:10:00,2017-12-14 18:20:00,2017-12-14 18:30:00,2017-12-14 18:40:00,2017-12-14 18:50:00,2017-12-14 19:00:00,2017-12-14 19:10:00,2017-12-14 19:20:00,2017-12-14 19:30:00,2017-12-14 19:40:00,2017-12-14 19:50:00,2017-12-14 20:00:00,2017-12-14 20:10:00,2017-12-14 20:20:00,2017-12-14 20:30:00,2017-12-14 20:40:00,2017-12-14 20:50:00,2017-12-14 21:00:00,2017-12-14 21:10:00,2017-12-14 21:20:00,2017-12-14 21:30:00,2017-12-14 21:40:00,2017-12-14 21:50:00,2017-12-14 22:00:00,2017-12-14 22:10:00,2017-12-14 22:20:00,2017-12-14 22:30:00,2017-12-14 22:40:00,2017-12-14 22:50:00,2017-12-14 23:00:00,2017-12-14 23:10:00,2017-12-14 23:20:00,2017-12-14 23:30:00,2017-12-14 23:40:00,2017-12-14 23:50:00
wx,0.3043230747755096,-0.35763108145587014,0.24017157155974322,0.36552904218757787,0.13461319612699563,0.33230672246659837,0.3362463027596166,0.14856694431039352,0.0010897789656997628,0.12676502364544806,-0.1351155457331924,-0.25680261970625784,-0.2907300626871454,0.3023057411464953,-0.243428240739243,0.22152166969057854,-0.12975987326701977,-0.17815795434156054,0.09339172591312496,-0.14462820194396347,0.17068408402872723,0.02991893099709088,-0.1185087684357885,0.12696032243398628,-0.027647888847048767,0.0005264371209697051,-0.1066869353842805,-0.11630365967133059,0.024653579531987255,0.03037085384820057,0.08745573401502346,0.013279168307895647,0.09211752316666139,-0.06651198185058252,-0.1281359134691968,0.11949671112798284,0.0037201446412955716,0.11913011658488863,-0.03139835955927512,-0.1532215931452012,-0.04606044748141579,-0.060089201274172055,-0.09111887328205404,0.025580203493313695,0.009734794836279797,-0.032173885434843064,0.14575100722618498,-0.17297088491621865,0.041302104725343146,0.1469742739249945,0.09600287963157399,-0.11488179155580841,-0.12190026247761905,-0.051311912305708966,0.02339977381979753,-0.07126746011750243,0.10615931731148127,-0.03277665525955067,0.0866509333592045,-0.05306047791968419,0.13788408427663912,-0.07156898843376697,-0.005133496053644552,-0.08904325930734484,-0.07512737029524674,0.0758776546444622,-0.02157511706420663,0.00012343041519453154,-0.09078790108165702,0.10538002698749349,-0.07033536704857615,0.03198996589498438
wy,-0.284095404026633,-0.2240101459423969,-0.337268496189318,0.12227507965952827,0.3706421714359123,0.18965349649273172,0.10638783568792158,-0.2717722117883017,-0.29947669748089434,0.2619597844944473,-0.25143461085193697,-0.13295441409150813,-0.025718641006121905,0.01450910755587989,0.16429496235665494,-0.13662148470613078,0.19949069798818808,-0.08854128093460562,0.184838042501138,-0.16740723135592553,-0.10140299576879784,0.13968300989618743,0.004775848476541785,0.024910646838041804,0.12411872178858217,0.114751745054493,0.03868634037454417,-0.021887853753355474,-0.09160409731278762,-0.07201266812357451,-0.0261889235370367,0.08232749019449619,-0.05494508890927479,-0.11351020571609673,0.12659364213948632,-0.08562057760963405,0.14512842521850117,0.09318026388275562,0.1324082180124758,-0.01064589042503389,0.10785255174567547,-0.0881610388683956,0.053020362813332216,0.1495613082876907,0.18341307576209265,0.15434366458361812,-0.11875098932405152,-0.11093051008276363,0.09905287392142581,0.041033359875909156,-0.14165936848895305,-0.09282895280510699,-0.022397759421182294,0.10956208990237055,0.10780121498160483,-0.04937652461144713,-0.0055557738251436044,-0.1712300634142318,0.1448762398440198,-0.14088933621524882,0.05852698614096954,0.12419731770304461,-0.15157879179436315,-0.0849939685018492,0.07763529131706465,-0.09566596902809882,-0.12434796755859112,-0.13925275337921877,-0.021094569131659115,-0.02458088893575675,-0.01411281901832136,0.06274776597383044
T_DL_Avg,0.5069740410693531,0.5087175513366913,0.5100736148779543,0.511623401782255,0.5135606354126309,0.5151104223169315,0.5164664858581945,0.5172413793103449,0.5193723363037582,0.5215032932971717,0.5234405269275475,0.524602867105773,0.525958930647036,0.5265401007361488,0.5265401007361488,0.5253777605579233,0.524602867105773,0.5240216970166602,0.5249903138318481,0.5269275474622239,0.5269275474622239,0.5236342502905851,0.5182099961255328,0.5131731886865556,0.5094924447888416,0.5054242541650523,0.4986439364587369,0.4899263851220457,0.4808213870592794,0.4721038357225882,0.4645486245641225,0.45796203022084464,0.45273149941882995,0.44711352189074,0.4403332041844247,0.4333591631150717,0.42754746222394424,0.42289810151104223,0.41941108097636576,0.41514916698953896,0.410499806276637,0.408175125920186,0.408175125920186,0.40875629600929875,0.4099186361875242,0.41146842309182485,0.4124370399070128,0.4132119333591631,0.4139868268113135,0.41282448663308796,0.41011235955056186,0.4074002324680357,0.40526927547462227,0.4025571483920961,0.3986826811313444,0.3942270437814801,0.3897714064316157,0.38570321580782646,0.38337853545137546,0.3837659821774506,0.38589693917086404,0.3870592793490895,0.38744672607516467,0.38686555598605193,0.38492832235567614,0.3827973653622627,0.3795040681906238,0.3750484308407594,0.37039907012785744,0.36478109259976754,0.35974428516079043,0.35625726462611396
TIMESTAMP,2017-12-16 12:00:00,2017-12-16 12:10:00,2017-12-16 12:20:00,2017-12-16 12:30:00,2017-12-16 12:40:00,2017-12-16 12:50:00,2017-12-16 13:00:00,2017-12-16 13:10:00,2017-12-16 13:20:00,2017-12-16 13:30:00,2017-12-16 13:40:00,2017-12-16 13:50:00,2017-12-16 14:00:00,2017-12-16 14:10:00,2017-12-16 14:20:00,2017-12-16 14:30:00,2017-12-16 14:40:00,2017-12-16 14:50:00,2017-12-16 15:00:00,2017-12-16 15:10:00,2017-12-16 15:20:00,2017-12-16 15:30:00,2017-12-16 15:40:00,2017-12-16 15:50:00,2017-12-16 16:00:00,2017-12-16 16:10:00,2017-12-16 16:20:00,2017-12-16 16:30:00,2017-12-16 16:40:00,2017-12-16 16:50:00,2017-12-16 17:00:00,2017-12-16 17:10:00,2017-12-16 17:20:00,2017-12-16 17:30:00,2017-12-16 17:40:00,2017-12-16 17:50:00,2017-12-16 18:00:00,2017-12-16 18:10:00,2017-12-16 18:20:00,2017-12-16 18:30:00,2017-12-16 18:40:00,2017-12-16 18:50:00,2017-12-16 19:00:00,2017-12-16 19:10:00,2017-12-16 19:20:00,2017-12-16 19:30:00,2017-12-16 19:40:00,2017-12-16 19:50:00,2017-12-16 20:00:00,2017-12-16 20:10:00,2017-12-16 20:20:00,2017-12-16 20:30:00,2017-12-16 20:40:00,2017-12-16 20:50:00,2017-12-16 21:00:00,2017-12-16 21:10:00,2017-12-16 21:20:00,2017-12-16 21:30:00,2017-12-16 21:40:00,2017-12-16 21:50:00,2017-12-16 22:00:00,2017-12-16 22:10:00,2017-12-16 22:20:00,2017-12-16 22:30:00,2017-12-16 22:40:00,2017-12-16 22:50:00,2017-12-16 23:00:00,2017-12-16 23:10:00,2017-12-16 23:20:00,2017-12-16 23:30:00,2017-12-16 23:40:00,2017-12-16 23:50:00
wx,0.0790569752906039,0.1392677102236508,0.15245763755331568,0.11274647549928919,0.10465981202705928,-0.17552575222283429,-0.22701534882887853,0.0036848406784383385,0.17758836616382437,-0.1473700433016612,0.15079079663858957,-0.16651355710021504,0.21822710759142142,0.029002697066173328,0.24506387773188154,0.027877460539545026,0.11683790235203881,0.09146536242459105,-0.2030849762590271,-0.11075628132219228,-0.11286506089741452,0.224106048179455,-0.3176447655231638,0.3613903947942305,0.06092294246922786,0.21047977025647915,0.16230113478340086,0.017595571961233403,0.10033621551426267,-0.07813354522701166,0.08499837950535506,-0.09170629638349019,-0.023202545726589332,-0.1332899543883744,-0.11564104808419523,-0.046707894973686256,0.1321000841616125,0.017724830762840652,-0.13663799940657162,-0.19290607683646055,-0.16231095920788643,-0.02383771448655245,-0.03872833424001528,0.11145305685546585,0.19550562887691092,0.15437064405874915,0.2012146546861581,0.19139197784588588,-0.0011581356697610578,0.04169758320963392,-0.18450946561458617,-0.23374870737640785,0.08058986895076183,-0.06126913654491471,0.030580393752180916,-0.004687646193166363,0.18499645079663368,0.1301588551725248,-0.07887997626987125,-0.06734169297348669,-0.011584387103928007,-0.0471518155078606,0.028208046693145798,0.015699045774732,0.02070170763537381,-0.058046529413205476,0.17407665519848434,-0.0215160357540797,-0.19339622591759997,0.04461724562976336,0.026423801039278345,0.1246408536499201
wy,-0.20947768939296435,-0.12481285178741226,0.16016684745608997,-0.13204572491127925,-0.19931533122120093,-0.053432667946537664,0.04963193801403354,-0.1317096776181762,-0.027836556211801755,0.12235349264622976,0.08041307947550075,0.07955790259189299,0.09179010268260103,-0.2611926886574908,-0.02709405426067314,0.22131653409726895,0.16261433088204863,0.18287369504679857,-0.07361780412488939,0.19044244398162433,0.17983666847029364,-0.11208693293320801,-0.12092090397372372,0.14637194686686142,-0.3357172148140729,-0.2604239772751047,-0.215158484890786,-0.17330978487861254,0.1096705971232291,0.11247156655389373,0.118226964327431,0.11086209492771508,0.12688834617508485,0.012373051256525784,-0.07730716276974778,0.11479864593112647,-0.09465101927437006,-0.14624848217797304,-0.13738893591671597,-0.07991880764650089,0.03388586185846591,0.144475669746626,-0.12117889573587884,0.12369054927521841,-0.06764312306141194,0.14500046174046677,-0.11308310284394762,0.06511549534379377,-0.12665147899192117,0.1453408171169824,0.11490521373816051,-0.0063080688561150235,0.028186863165154296,0.024024130117633442,0.062219234457422716,0.15348261587026843,-0.05470151712810314,-0.002877323254985161,-0.06488949111005822,0.004045132714939912,-0.060118464358088396,-0.03297055683175767,-0.028265832202384843,0.0059289021912696275,-0.03969356683166661,-0.09173184338252617,-0.046624272042686946,-0.2093889740606209,0.027367610033058234,-0.14794109497115193,0.14520481187197062,0.06800321039665522
T_DL_Avg,0.5112359550561798,0.513948082138706,0.5178225493994576,0.5213095699341341,0.5261526540100736,0.529252227818675,0.5315769081751259,0.5325455249903138,0.53525765207284,0.5383572258814413,0.5408756296009299,0.5449438202247191,0.5488182874854708,0.5513366912049593,0.550561797752809,0.549205734211546,0.5480433940333205,0.5484308407593956,0.5499806276636963,0.5511429678419217,0.5517241379310345,0.5511429678419217,0.5480433940333205,0.5420379697791554,0.5335141418055017,0.5247965904688106,0.5158853157690818,0.5056179775280899,0.4934134056567222,0.4800464936071291,0.467067028283611,0.4560247965904688,0.44691979852770247,0.438783417280124,0.4312282061216583,0.4248353351414181,0.41960480433940334,0.41669895389383965,0.4147617202634638,0.41456799690042617,0.41534289035257654,0.4159240604416893,0.41534289035257654,0.4139868268113135,0.41069352963967454,0.40488182874854706,0.39829523440526926,0.39325842696629215,0.3889965129794653,0.3841534289035258,0.3787291747384735,0.3756296009298722,0.37698566447113524,0.3779542812863232,0.3762107710189849,0.3715614103060829,0.3672994963192561,0.36516853932584276,0.36226268888027896,0.357613328167377,0.35257652072839984,0.349283223556761,0.3471522665633476,0.34540875629600926,0.3438589693917087,0.3426966292134832,0.3413405656722201,0.33882216195273146,0.3359163115071678,0.3349476946919799,0.3372723750484309,0.3397907787679194
TIMESTAMP,2017-12-18 12:00:00,2017-12-18 12:10:00,2017-12-18 12:20:00,2017-12-18 12:30:00,2017-12-18 12:40:00,2017-12-18 12:50:00,2017-12-18 13:00:00,2017-12-18 13:10:00,2017-12-18 13:20:00,2017-12-18 13:30:00,2017-12-18 13:40:00,2017-12-18 13:50:00,2017-12-18 14:00:00,2017-12-18 14:10:00,2017-12-18 14:20:00,2017-12-18 14:30:00,2017-12-18 14:40:00,2017-12-18 14:50:00,2017-12-18 15:00:00,2017-12-18 15:10:00,2017-12-18 15:20:00,2017-12-18 15:30:00,2017-12-18 15:40:00,2017-12-18 15:50:00,2017-12-18 16:00:00,2017-12-18 16:10:00,2017-12-18 16:20:00,2017-12-18 16:30:00,2017-12-18 16:40:00,2017-12-18 16:50:00,2017-12-18 17:00:00,2017-12-18 17:10:00,2017-12-18 17:20:00,2017-12-18 17:30:00,2017-12-18 17:40:00,2017-12-18 17:50:00,2017-12-18 18:00:00,2017-12-18 18:10:00,2017-12-18 18:20:00,2017-12-18 18:30:00,2017-12-18 18:40:00,2017-12-18 18:50:00,2017-12-18 19:00:00,2017-12-18 19:10:00,2017-12-18 19:20:00,2017-12-18 19:30:00,2017-12-18 19:40:00,2017-12-18 19:50:00,2017-12-18 20:00:00,2017-12-18 20:10:00,2017-12-18 20:20:00,2017-12-18 20:30:00,2017-12-18 20:40:00,2017-12-18 20:50:00,2017-12-18 21:00:00,2017-12-18 21:10:00,2017-12-18 21:20:00,2017-12-18 21:30:00,2017-12-18 21:40:00,2017-12-18 21:50:00,2017-12-18 22:00:00,2017-12-18 22:10:00,2017-12-18 22:20:00,2017-12-18 22:30:00,2017-12-18 22:40:00,2017-12-18 22:50:00,2017-12-18 23:00:00,2017-12-18 23:10:00,2017-12-18 23:20:00,2017-12-18 23:30:00,2017-12-18 23:40:00,2017-12-18 23:50:00
wx,-0.08215401780143133,0.014411427266778081,0.05405313589895925,0.004746336329431076,-0.08193698185575803,0.16450051097607432,-0.1609509136509126,0.05617611993883154,-0.09358521339464212,-0.0033540880306916297,0.08243733055994726,0.14185785968448533,-0.01159787772529394,-0.14513442403716706,0.2156087994852589,0.10283978743240704,-0.16066401351820797,-0.026570257171093847,0.029485578686019302,0.009735210659980563,-0.00552411468540568,0.02372449137738931,-0.1074200141524423,0.01999249602173894,-0.0012652397588387918,0.026178765944197088,-0.01562032256428316,0.04087074300625755,-0.07218284605615574,-0.06802829616100645,-0.11129709014294684,-0.08129055826217743,0.06178809411986754,-0.11594823903292513,-0.07624257897112562,0.02074439838463457,-0.03757509516895587,-0.06617678485192292,-0.011168909813367689,0.010264936207393603,-0.05568814371841971,0.04650225148443909,-0.006828070111165465,-0.08572806478034527,-0.15790176146404863,-0.1289004472607336,0.0399695371694482,-0.008150736947801364,0.09346398039285263,0.1356314564994128,0.1046480928031905,0.13893350912850944,-0.07991954738808452,0.06694484779391512,0.06822530654602077,0.016264379975354102,0.008000539974337986,0.024393646159009512,0.09973494410340787,0.15607246564664787,-0.029961449564833344,0.164340667430843,-0.18296896203547505,-0.19029712568138643,0.19043778578867462,0.18704772240295753,0.18877432426042107,0.16811197882960635,-0.1928476645544191,-0.18382082950088793,-0.1744342297744783,0.11963306069114539
